"x","y","value"
75.7540267548,33.2623606181,1
75.7623600881,33.2623606181,1
75.7706934214,33.2623606181,1
75.7790267547,33.2623606181,1
75.787360088,33.2623606181,1
75.7956934213,33.2623606181,1
75.8040267546,33.2623606181,1
75.8123600879,33.2623606181,1
75.8206934212,33.2623606181,1
76.12069342,33.2623606181,1
76.1290267533,33.2623606181,1
76.1373600866,33.2623606181,0.5
76.1456934199,33.2623606181,0.5
76.1540267532,33.2623606181,0.5
76.1623600865,33.2623606181,1
76.1706934198,33.2623606181,1
76.1790267531,33.2623606181,1
75.7456934215,33.2540272848,1
75.7540267548,33.2540272848,1
75.7623600881,33.2540272848,1
75.7706934214,33.2540272848,1
75.7790267547,33.2540272848,1
75.787360088,33.2540272848,1
75.7956934213,33.2540272848,1
75.8040267546,33.2540272848,1
76.1373600866,33.2540272848,1
76.1456934199,33.2540272848,1
76.1873600864,33.2540272848,1
75.7706934214,33.2456939515,1
75.7790267547,33.2456939515,1
75.787360088,33.2456939515,1
75.7956934213,33.2456939515,1
75.8040267546,33.2456939515,1
76.1873600864,33.2456939515,1
75.7706934214,33.2373606182,1
75.7790267547,33.2373606182,1
75.787360088,33.2373606182,1
75.7956934213,33.2373606182,1
75.8040267546,33.2373606182,1
75.6040267554,33.2290272849,1
75.7706934214,33.2290272849,1
75.7790267547,33.2290272849,1
75.787360088,33.2290272849,1
75.7956934213,33.2290272849,1
75.8040267546,33.2290272849,1
75.8123600879,33.2290272849,1
75.8623600877,33.2290272849,1
75.870693421,33.2290272849,1
75.8790267543,33.2290272849,1
76.1956934197,33.2290272849,1
75.5706934222,33.2206939516,1
75.5956934221,33.2206939516,1
75.6040267554,33.2206939516,1
75.6706934218,33.2206939516,1
75.7623600881,33.2206939516,1
75.7706934214,33.2206939516,1
75.7790267547,33.2206939516,1
75.787360088,33.2206939516,1
75.7956934213,33.2206939516,1
75.8040267546,33.2206939516,1
75.8123600879,33.2206939516,1
75.8206934212,33.2206939516,1
75.8290267545,33.2206939516,1
75.8373600878,33.2206939516,1
75.8456934211,33.2206939516,1
75.8540267544,33.2206939516,1
75.8623600877,33.2206939516,1
76.204026753,33.2206939516,1
75.5706934222,33.2123606183,0.5
75.5790267555,33.2123606183,1
75.5873600888,33.2123606183,0.5
75.5956934221,33.2123606183,1
75.6290267553,33.2123606183,1
75.6373600886,33.2123606183,1
75.6706934218,33.2123606183,1
75.6790267551,33.2123606183,1
75.6873600884,33.2123606183,1
75.7790267547,33.2123606183,1
75.787360088,33.2123606183,1
75.7956934213,33.2123606183,1
75.8040267546,33.2123606183,1
75.8123600879,33.2123606183,1
75.8206934212,33.2123606183,1
75.8290267545,33.2123606183,1
75.8373600878,33.2123606183,1
75.8456934211,33.2123606183,1
75.8540267544,33.2123606183,1
75.8623600877,33.2123606183,1
76.2123600863,33.2123606183,1
76.2206934196,33.2123606183,1
75.5706934222,33.204027285,0.5
75.5790267555,33.204027285,1
75.5873600888,33.204027285,1
75.6373600886,33.204027285,1
75.6456934219,33.204027285,0.5
75.6540267552,33.204027285,1
75.6706934218,33.204027285,1
75.6790267551,33.204027285,1
75.787360088,33.204027285,1
75.7956934213,33.204027285,1
75.8040267546,33.204027285,1
75.8123600879,33.204027285,1
75.8206934212,33.204027285,1
76.2290267529,33.204027285,1
75.5706934222,33.1956939517,0.5
75.5790267555,33.1956939517,1
75.5873600888,33.1956939517,1
75.6373600886,33.1956939517,0.5
75.6456934219,33.1956939517,1
75.6540267552,33.1956939517,0.5
75.6623600885,33.1956939517,1
75.6706934218,33.1956939517,1
75.6790267551,33.1956939517,1
75.7206934216,33.1956939517,1
75.7790267547,33.1956939517,1
75.787360088,33.1956939517,1
75.7956934213,33.1956939517,1
75.8040267546,33.1956939517,1
75.8123600879,33.1956939517,1
75.8206934212,33.1956939517,1
75.8290267545,33.1956939517,1
76.2373600862,33.1956939517,1
75.5290267557,33.1873606184,1
75.537360089,33.1873606184,1
75.5623600889,33.1873606184,1
75.5706934222,33.1873606184,1
75.5790267555,33.1873606184,1
75.5873600888,33.1873606184,0.5
75.5956934221,33.1873606184,1
75.6373600886,33.1873606184,1
75.6456934219,33.1873606184,0.5
75.6540267552,33.1873606184,1
75.6623600885,33.1873606184,1
75.6706934218,33.1873606184,1
75.6790267551,33.1873606184,1
75.6873600884,33.1873606184,1
75.6956934217,33.1873606184,1
75.704026755,33.1873606184,1
75.7123600883,33.1873606184,1
75.7206934216,33.1873606184,1
75.7290267549,33.1873606184,1
